Language,Consonants
Neapolitan,"['b', 'd', 'dz', 'dʒ', 'f', 'ɡ', 'ʝ', 'k', 'c', 'l', 'm', 'ɱ', 'n', 'ŋ', 'ɲ', 'p', 'r', 's', 'ʃ', 't', 'ts', 'tʃ', 'v', 'z', 'ʒ', 'j', 'w']"
Nepali,"['b', 'd', 'ɖ', 'd͡z', 'ɡ', 'ɦ', 'k', 'l', 'm', 'n', 'ŋ', 'ɳ', 'p', 'r', 's', 't͡s', 't', 'ʈ', 'w', 'j']"
Northern_Thai,"['b', 'd', 'f', 'h', 'j', 'k', 'l', 'm', 'n', 'ŋ', 'ɲ', 'p', 'pʰ', 'r', 's', 't', 'tʰ', 't͡ɕ', 'w', 'x', 'ʔ']"
Norwegian,"['b', 'ç', 'd', 'ɖ', 'f', 'ɡ', 'h', 'j', 'k', 'l', 'l̩', 'ɫ', 'm', 'n', 'n̩', 'ɳ', 'ɳ̍', 'ŋ', 'p', 'r', 'ɽ', 's', 'ʂ', 't', 'ʈ', 'v']"
Occitan,"['b', 'β', 'd', 'dz', 'dʒ', 'ð', 'f', 'ɡ', 'ɣ', 'k', 'l', 'ʎ', 'm', 'n', 'ŋ', 'ɲ', 'p', 'r', 'ɾ', 's', 't', 'ts', 'tʃ', 'z', 'h', 'ʀ', 'ʃ', 'v', 'ʒ']"
Odia,"['b', 'bʱ', 'd', 'ɖ', 'dʒ', 'ɡ', 'ɡʱ', 'h', 'j', 'k', 'kʰ', 'l', 'ɭ', 'm', 'n', 'ɳ', 'ŋ', 'p', 'r', 'ɽ', 's', 't', 'ʈ', 'ʈʰ', 'tʃ', 'u']"
Piedmontese,"['b', 'd', 'dz', 'dʒ', 'f', 'ɡ', 'k', 'l', 'm', 'n', 'ŋ', 'ɲ', 'p', 'r', 's', 't', 'ts', 'tʃ', 'v', 'ʋ', 'z']"
Polish,"['b', 'ɕ', 'd', 'd͡z', 'd͡ʑ', 'd͡ʐ', 'f', 'ɡ', 'ɡʲ', 'ɣ', 'j', 'j̃', 'k', 'kʲ', 'l', 'm', 'n', 'ɲ', 'ŋ', 'p', 'r', 's', 'ʂ', 't', 't͡ɕ', 't͡s', 't͡ʂ', 'v', 'w', 'x', 'xʲ', 'z', 'ʑ', 'ʐ']"
Portuguese,"['b', 'β', 'ð', 'd', 'dʒ', 'f', 'ɡ', 'ɣ', 'k', 'l', 'w', 'ʎ', 'm', 'n', 'ɲ', 'p', 'ʁ', 'ɾ', 'ɾ', 's', 'ʃ', 'ʃ', 'tʃ', 't', 't', 'v', 'ʒ', 'z', 'z', 'j', 'w']"
Punjabi,"['b', 'd', 'dʒ', 'ɖ', 'f', 'ɡ', 'ɣ', 'ɦ', 'j', 'k', 'kʰ', 'l', 'ɭ', 'm', 'n', 'ɳ', 'ɲ', 'ŋ', 'p', 'pʰ', 'q', 'r', 'ɾ', 'ɽ', 'ɽʱ', 's', 'ʃ', 't', 'tʰ', 'tʃ', 'tʃʰ', 'ʈ', 'ʈʰ', 'ʋ', 'x', 'z']"
Quechua,"['h', 'j', 'k', 'kʰ', 'kʼ', 'l', 'ʎ', 'm', 'n', 'ɲ', 'p', 'pʰ', 'pʼ', 'q', 'qʰ', 'qʼ', 'ɾ', 's', 'ʃ', 't', 'tʰ', 'tʼ', 'tʃ', 'tʃʰ', 'tʃʼ', 'w']"
Romanian,"['b', 'd', 'dʒ', 'f', 'ɡ', 'h', 'k', 'l', 'm', 'n', 'ŋ', 'p', 'r', 's', 'ʃ', 't', 'ts', 'tʃ', 'v', 'z', 'ʒ', 'ɲ']"
Romansh,"['b', 'd', 'dʑ', 'f', 'ɡ', 'k', 'l', 'ʎ', 'm', 'n', 'ŋ', 'ɲ', 'p', 'r', 's', 'ʃ', 't', 'ts', 'tɕ', 'tʃ', 'v', 'z', 'ʒ', 'h', 'ç', 'j', 'w']"
Russian,"['b', 'd', 'f', 'ɡ', 'j', 'k', 'l', 'm', 'n', 'p', 'r', 's', 'ʂ', 't', 'ts', 'v', 'x', 'z', 'ʐ', 'a', 'ɛ', 'ɨ', 'o', 'u', 'ɐ', 'ə', 'ɨ', 'ʊ', 'ɛ', 'o', 'ˈ', 'ː']"
Sanskrit,"['b', 'bʱ', 'ɕ', 'd', 'dʱ', 'ɖ', 'ɖʱ', 'ɡ', 'ɡʱ', 'ɦ', 'j', 'dʑ', 'dʑʱ', 'ɟ', 'k', 'kʰ', 'l', 'm', 'n', 'ɲ', 'ɳ', 'ŋ', 'p', 'pʰ', 'r', 's', 'ʂ', 't', 'tʰ', 'ʈ', 'ʈʰ', 'tɕ', 'tɕʰ', 'ʋ']"
